Sample_Name	Weight	Mutation_Info	SJ_File
TCGA-06-0882	5.4909	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-06-0882-01A-01R-1849-01.SJ.out.tab
TCGA-06-1804	6.0541	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-06-1804-01A-01R-1849-01.SJ.out.tab
TCGA-06-2557	5.9325	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-06-2557-01A-01R-1849-01.SJ.out.tab
TCGA-06-2558	4.8526	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-06-2558-01A-01R-1849-01.SJ.out.tab
TCGA-06-2559	4.8341	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-06-2559-01A-01R-1849-01.SJ.out.tab
TCGA-06-2561	4.8212	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-06-2561-01A-02R-1849-01.SJ.out.tab
TCGA-06-2562	5.5719	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-06-2562-01A-01R-1849-01.SJ.out.tab
TCGA-06-2563	5.036	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-06-2563-01A-01R-1849-01.SJ.out.tab
TCGA-06-2564	5.9413	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-06-2564-01A-01R-1849-01.SJ.out.tab
TCGA-06-2565	5.767	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-06-2565-01A-01R-1849-01.SJ.out.tab
TCGA-06-2567	5.7025	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-06-2567-01A-01R-1849-01.SJ.out.tab
TCGA-06-2569	5.2826	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-06-2569-01A-01R-1849-01.SJ.out.tab
TCGA-06-2570	5.2317	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-06-2570-01A-01R-1849-01.SJ.out.tab
TCGA-06-5408	5.5806	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-06-5408-01A-01R-1849-01.SJ.out.tab
TCGA-06-5410	5.8975	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-06-5410-01A-01R-1849-01.SJ.out.tab
TCGA-06-5411	6.0462	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-06-5411-01A-01R-1849-01.SJ.out.tab
TCGA-06-5412	5.47	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-06-5412-01A-01R-1849-01.SJ.out.tab
TCGA-06-5413	5.3965	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-06-5413-01A-01R-1849-01.SJ.out.tab
